train/loss,l1,l2,epoch,step,val/loss,val/error_u,val/loss_best
0.0,0.0029798015020787716,-5.999061107635498,0,0,,,
15730.345703125,0.0039484440349042416,-5.99972677230835,1,1,,,
15383.73828125,0.004896458704024553,-6.000508785247803,2,2,,,
15130.1796875,0.005820636637508869,-6.001359462738037,3,3,,,
14945.30859375,0.006719769444316626,-6.00225830078125,4,4,,,
14810.2890625,0.007594452705234289,-6.003192901611328,5,5,,,
14710.58984375,0.00844628643244505,-6.004155158996582,6,6,,,
14634.7080078125,0.009276879020035267,-6.005137920379639,7,7,,,
14574.015625,0.010087113827466965,-6.0061354637146,8,8,,,
14523.1025390625,0.010876891203224659,-6.007141590118408,9,9,,,
14479.400390625,0.01164520625025034,-6.008150577545166,10,10,,,
14442.154296875,0.012390443123877048,-6.009158134460449,11,11,,,
14411.32421875,0.013110751286149025,-6.010159969329834,12,12,,,
14386.841796875,0.01380438543856144,-6.011153697967529,13,13,,,
14368.1533203125,0.014469921588897705,-6.012138366699219,14,14,,,
14354.1337890625,0.015106339007616043,-6.0131144523620605,15,15,,,
14343.2333984375,0.015713004395365715,-6.014082908630371,16,16,,,
14333.83984375,0.016289599239826202,-6.015046119689941,17,17,,,
14324.66015625,0.016836009919643402,-6.0160064697265625,18,18,,,
14314.927734375,0.01735219731926918,-6.016966342926025,19,19,,,
14304.3837890625,0.017838019877672195,-6.017927646636963,20,20,,,
14293.1435546875,0.01829303242266178,-6.01889181137085,21,21,,,
14281.51171875,0.018716322258114815,-6.01986026763916,22,22,,,
14269.8583984375,0.01910639926791191,-6.020833969116211,23,23,,,
14258.533203125,0.01946118287742138,-6.021813869476318,24,24,,,
14247.818359375,0.019778063520789146,-6.022800445556641,25,25,,,
14237.900390625,0.02005402185022831,-6.023794174194336,26,26,,,
14228.8671875,0.020285766571760178,-6.0247955322265625,27,27,,,
14220.6962890625,0.020469877868890762,-6.025805950164795,28,28,,,
14213.244140625,0.020602921023964882,-6.02682638168335,29,29,,,
14206.26171875,0.020681561902165413,-6.027857780456543,30,30,,,
14199.4296875,0.02070264331996441,-6.02890157699585,31,31,,,
14192.4287109375,0.020663244649767876,-6.029959201812744,32,32,,,
14185.0205078125,0.020560724660754204,-6.031032562255859,33,33,,,
14177.115234375,0.0203927643597126,-6.032122611999512,34,34,,,
14168.744140625,0.020157434046268463,-6.033231258392334,35,35,,,
14160.0302734375,0.019853299483656883,-6.034360408782959,36,36,,,
14151.119140625,0.01947956718504429,-6.0355119705200195,37,37,,,
14142.11328125,0.01903621293604374,-6.036688327789307,38,38,,,
14133.0517578125,0.018524080514907837,-6.037890911102295,39,39,,,
14123.896484375,0.01794486865401268,-6.039122581481934,40,40,,,
14114.556640625,0.017301034182310104,-6.040384769439697,41,41,,,
14104.927734375,0.016595596447587013,-6.041679382324219,42,42,,,
14094.919921875,0.01583191752433777,-6.043007850646973,43,43,,,
14084.4609375,0.015013475902378559,-6.044370651245117,44,44,,,
14073.48046875,0.014143693260848522,-6.045768737792969,45,45,,,
14061.9013671875,0.013225818052887917,-6.047202110290527,46,46,,,
14049.640625,0.012262867763638496,-6.048670291900635,47,47,,,
14036.61328125,0.011257605627179146,-6.050172805786133,48,48,,,
14022.7470703125,0.010212533175945282,-6.051708221435547,49,49,,,
14007.974609375,0.009129880927503109,-6.053274631500244,50,50,,,
13992.2265625,0.008011587895452976,-6.05487060546875,51,51,,,
13975.408203125,0.0068592773750424385,-6.056493759155273,52,52,,,
13957.41796875,0.005674243438988924,-6.05814266204834,53,53,,,
13938.150390625,0.004457466769963503,-6.059814929962158,54,54,,,
13917.50390625,0.003209661692380905,-6.061509132385254,55,55,,,
13895.3671875,0.0019313519587740302,-6.0632243156433105,56,56,,,
13871.6181640625,0.0006229542195796967,-6.064958572387695,57,57,,,
13846.11328125,-0.000715153175406158,-6.066710948944092,58,58,,,
13818.693359375,-0.0020825942046940327,-6.068480491638184,59,59,,,
13789.1826171875,-0.003478984348475933,-6.070266246795654,60,60,,,
13757.396484375,-0.004903943277895451,-6.072067737579346,61,61,,,
13723.1298828125,-0.006357095204293728,-6.0738844871521,62,62,,,
13686.1787109375,-0.007838060148060322,-6.0757155418396,63,63,,,
13646.318359375,-0.00934641808271408,-6.077560901641846,64,64,,,
13603.3212890625,-0.010881674475967884,-6.0794196128845215,65,65,,,
13556.94921875,-0.012443234212696552,-6.081292152404785,66,66,,,
13506.962890625,-0.014030412770807743,-6.0831780433654785,67,67,,,
13453.107421875,-0.015642477199435234,-6.085076808929443,68,68,,,
13395.130859375,-0.017278706654906273,-6.086988925933838,69,69,,,
13332.7529296875,-0.018938440829515457,-6.088913917541504,70,70,,,
13265.6943359375,-0.02062109299004078,-6.0908522605896,71,71,,,
13193.6484375,-0.02232612483203411,-6.092803478240967,72,72,,,
13116.314453125,-0.02405298501253128,-6.0947675704956055,73,73,,,
13033.3828125,-0.025801032781600952,-6.096744537353516,74,74,,,
12944.537109375,-0.02756946161389351,-6.098734378814697,75,75,,,
12849.4765625,-0.02935723215341568,-6.10073709487915,76,76,,,
12747.89453125,-0.031163010746240616,-6.102752208709717,77,77,,,
12639.494140625,-0.03298511728644371,-6.1047797203063965,78,78,,,
12523.986328125,-0.03482146933674812,-6.106819152832031,79,79,,,
12401.099609375,-0.03666957467794418,-6.108870506286621,80,80,,,
12270.5751953125,-0.03852655738592148,-6.110933780670166,81,81,,,
12132.18359375,-0.0403892919421196,-6.113008499145508,82,82,,,
11985.71875,-0.04225463047623634,-6.1150946617126465,83,83,,,
11831.01171875,-0.04411971569061279,-6.117192268371582,84,84,,,
11667.93359375,-0.04598238319158554,-6.1193013191223145,85,85,,,
11496.400390625,-0.04784155264496803,-6.121421813964844,86,86,,,
11316.396484375,-0.04969759285449982,-6.123553276062012,87,87,,,
11127.9736328125,-0.051552534103393555,-6.125696182250977,88,88,,,
10931.265625,-0.05341002717614174,-6.12785005569458,89,89,,,
10726.5009765625,-0.055274974554777145,-6.1300153732299805,90,90,,,
10514.005859375,-0.0571528859436512,-6.1321916580200195,91,91,,,
10294.224609375,-0.059049125760793686,-6.134378910064697,92,92,,,
10067.716796875,-0.06096828356385231,-6.136577129364014,93,93,,,
9835.1796875,-0.06291385740041733,-6.138786315917969,94,94,,,
9597.447265625,-0.06488823145627975,-6.1410064697265625,95,95,,,
9355.5,-0.06689285486936569,-6.143237590789795,96,96,,,
9110.4716796875,-0.06892847269773483,-6.145479202270508,97,97,,,
8863.6396484375,-0.07099529355764389,-6.147731304168701,98,98,,,
8616.4296875,-0.07309301197528839,-6.149993896484375,99,99,,,
8370.404296875,-0.07522071897983551,-6.152266979217529,100,100,,,
8127.248046875,-0.0773768350481987,-6.154550075531006,101,101,,,
7888.736328125,-0.07955910265445709,-6.156843185424805,102,102,,,
7656.7041015625,-0.08176465332508087,-6.159145832061768,103,103,,,
7433.0,-0.08399000763893127,-6.1614580154418945,104,104,,,
7219.4248046875,-0.08623097836971283,-6.163779258728027,105,105,,,
7017.6669921875,-0.08848235011100769,-6.166109561920166,106,106,,,
6829.224609375,-0.09073740988969803,-6.168448448181152,107,107,,,
6655.3173828125,-0.09298698604106903,-6.170795440673828,108,108,,,
6496.80810546875,-0.0952177420258522,-6.173150539398193,109,109,,,
6354.12451171875,-0.09740924835205078,-6.175512790679932,110,110,,,
6227.2021484375,-0.09952942281961441,-6.177882194519043,111,111,,,
6115.45263671875,-0.10152793675661087,-6.180257797241211,112,112,,,
6017.78662109375,-0.10332895070314407,-6.182639122009277,113,113,,,
5932.66796875,-0.10482899099588394,-6.185025215148926,114,114,,,
5858.21875,-0.10591123253107071,-6.18741512298584,115,115,,,
5792.36328125,-0.10648252069950104,-6.189808368682861,116,116,,,
5733.005859375,-0.10651306062936783,-6.192203521728516,117,117,,,
5678.20703125,-0.10604198276996613,-6.1946001052856445,118,118,,,
5626.349609375,-0.10514748841524124,-6.196996688842773,119,119,,,
5576.24609375,-0.10391409695148468,-6.199392795562744,120,120,,,
5527.17578125,-0.10241549462080002,-6.201786994934082,121,121,,,
5478.849609375,-0.10071025788784027,-6.204178333282471,122,122,,,
5431.3310546875,-0.09884339570999146,-6.206566333770752,123,123,,,
5384.9130859375,-0.09684939682483673,-6.208950519561768,124,124,,,
5340.0009765625,-0.09475496411323547,-6.211330413818359,125,125,,,
5297.00390625,-0.09258110076189041,-6.213705539703369,126,126,,,
5256.2568359375,-0.09034465253353119,-6.216075897216797,127,127,,,
5217.998046875,-0.08805938810110092,-6.218441963195801,128,128,,,
5182.3515625,-0.08573675900697708,-6.220803737640381,129,129,,,
5149.34716796875,-0.08338641375303268,-6.223161220550537,130,130,,,
